mcc,short_name,description,unaltered_description
5960,Direct Marketing—Insurance Services,Merchants that sell insurance services via direct mail billing statement stuffers and magazine or television ads all of which include either a toll-free phone number or an address or Web site by which prospective clients may respond Insurance services offered may include all forms of life insurance hospital indemnity insurance additional coverage usually paid directly to the consumer accidental death and dismemberment insurance credit card insurance in which the outstanding balance is insured against the cardholder’s death disability or unemployment insurance and medical insurance for travelers Sales may be targeted to special groups such as veterans retired persons schoolteachers or members of certain organizations The billing of the insurance premiums typically occurs in periodic monthly quarterly or annual installments and continues until canceled by either the cardholder or the insurance company Another common feature is a free trial period of  or  days with the billing of the first installment after the trial period has ended For face-to-face insurance sales and underwriting services use  ,"Merchants that sell insurance services via direct mail, billing statement stuffers, and magazine or television ads, all of which include either a toll-free phone number or an address or Web site by which prospective clients may respond. Insurance services offered may include all forms of life insurance, hospital indemnity insurance (additional coverage usually paid directly to the consumer), accidental death and dismemberment insurance, credit card insurance in which the outstanding balance is insured against the cardholder’s death, disability or unemployment insurance, and medical insurance for travelers. Sales may be targeted to special groups such as veterans, retired persons, schoolteachers, or members of certain organizations. The billing of the insurance premiums typically occurs in periodic (monthly, quarterly, or annual) installments, and continues until canceled by either the cardholder or the insurance company. Another common feature is a free trial period of 60 or 90 days, with the billing of the first installment after the trial period has ended. For face-to-face insurance sales and underwriting services, use MCC 6300."
5962,Direct Marketing—Travel-Related Arrangement Services,Merchants that sell travel-related arrangement services via outbound telemarketing methods in which the merchant initiates contact with the consumer through direct mail advertising or other direct marketing methods requiring consumer response in an attempt to generate a sale Also included are discount travel clubs and subscription services or newsletters from which subscribers select prepackaged trips these often require an annual membership fee that may be billed to the cardholder’s account each year until canceled by the cardholder or the merchant For travel agents and tour operators use  ,"Merchants that sell travel-related arrangement services via outbound telemarketing methods in which the merchant initiates contact with the consumer through direct mail, advertising, or other direct marketing methods requiring consumer response in an attempt to generate a sale. Also included are discount travel clubs and subscription services or newsletters from which subscribers select prepackaged trips; these often require an annual membership fee that may be billed to the cardholder’s account each year until canceled by the cardholder or the merchant. For travel agents and tour operators, use MCC 4722."
5963,Door-to-Door Sales,Merchants that sell merchandise by means of house-to-house canvass or from trucks or wagons or other temporary locations Products sold door-to-door may include cosmetics household items bakery goods dairy products and magazine subscriptions,"Merchants that sell merchandise by means of house-to-house canvass, or from trucks or wagons or other temporary locations. Products sold door-to-door may include cosmetics, household items, bakery goods, dairy products, and magazine subscriptions."
5964,Direct Marketing—Catalog Merchants,Merchants that initiate direct contact with consumers and are often described as mail-order houses or as the mail-order industry Such merchants offer their merchandise via catalogs and accept merchandise orders exclusively via mail phone fax electronic commerce or other non–face-to-face methods A paper catalog is a multi-page document that is sent mailed faxed or otherwise delivered directly to a consumer An electronic catalog displays merchandise via cable TV or as videotext on an Internet site Catalogs display and describe merchandise and include a mail-order form phone number or Internet site address for placing orders Flyers and brochures are not considered catalogs A manufacturer with a pricing catalog is not considered a direct marketing catalog merchant,"Merchants that initiate direct contact with consumers and are often described as mail-order houses or as the mail-order industry. Such merchants offer their merchandise via catalogs, and accept merchandise orders exclusively via mail, phone, fax, electronic commerce, or other non–face-to-face methods. A paper catalog is a multi-page document that is sent (mailed, faxed, or otherwise delivered) directly to a consumer. An electronic catalog displays merchandise via cable TV or as videotext on an Internet site. Catalogs display and describe merchandise and include a mail-order form, phone number, or Internet site address for placing orders. Flyers and brochures are not considered catalogs. A manufacturer with a pricing catalog is not considered a direct marketing catalog merchant."
5965,Direct Marketing—Combination Catalog and Retail Merchants,Catalog merchants that also operate one or more retail outlets This  is used only for transactions occurring via mail order phone order electronic commerce or other non–face-to-face methods even if the merchandise is delivered to a store for pick-up Face-to-face sales including those in which the order is placed at a catalog desk or elsewhere in a store in response to a catalog or other direct response communication are excluded from this  All retail sales must be processed under an appropriate retail ,"Catalog merchants that also operate one or more retail outlets. This MCC is used only for transactions occurring via mail order, phone order, electronic commerce, or other non–face-to-face methods, even if the merchandise is delivered to a store for pick-up. Face-to-face sales, including those in which the order is placed at a catalog desk or elsewhere in a store in response to a catalog or other direct response communication are excluded from this MCC. All retail sales must be processed under an appropriate retail MCC."
5966,Direct Marketing—Outbound Telemarketing Merchants,Merchants that initiate direct contact with consumers to sell products and services Outbound telemarketing merchants contact and sometimes offer an incentive to prospective buyers by phone advertising direct mail other than a catalog or other direct marketing method that includes either a toll-free phone number or a mailing address Products promoted and sold via such methods may include cosmetics health-care products vitamins and time-share realty For charitable organizations that solicit contributions by any means including via outbound telemarketing use  ,"Merchants that initiate direct contact with consumers to sell products and services. Outbound telemarketing merchants contact (and sometimes offer an incentive to) prospective buyers by phone, advertising, direct mail (other than a catalog), or other direct marketing method that includes either a toll-free phone number or a mailing address. Products promoted and sold via such methods may include cosmetics, health-care products, vitamins, and time-share realty. For charitable organizations that solicit contributions by any means, including via outbound telemarketing, use MCC 8398."
5967,Direct Marketing—Inbound Telemarketing Merchants,Merchants that provide one or more audiotext or videotext services that can be accessed via phone fax or over an open network such as the Internet The cardholder initiates contact with the merchant and all subsequent transactions This  applies to information services offered over the telephone or the Internet as well as to products that may be sold through such services Information services are provided for a fee and may include polls sweepstakes adult chat and entertainment sports scores stock market quotes horoscope readings or other audio text or videotext services that consumers listen to view or participate in For providers of electronic bulletin board access or online services provided via personal computers use   ,"Merchants that provide one or more audiotext or videotext services that can be accessed via phone, fax, or over an open network such as the Internet. The cardholder initiates contact with the merchant and all subsequent transactions. This MCC applies to information services offered over the telephone or the Internet, as well as to products that may be sold through such services. Information services are provided for a fee and may include polls, sweepstakes, adult chat and entertainment, sports scores, stock market quotes, horoscope readings, or other audio text or videotext services that consumers listen to, view, or participate in. For providers of electronic bulletin board access or online services provided via personal computers, use MCC 4816. 127"
5968,Direct Marketing—Continuity/Subscription Merchants,Merchants that sell subscription products or services via direct mail Such merchants may offer a series of products such as one book a month for one year or the annual renewal of a single product The cardholder’s Mastercard card account is billed for the service on a continuing or periodic basis such as once a month or twice a year and the service continues until the subscription or series ends or the cardholder or merchant terminates the agreement This  includes direct mail book clubs magazine and newspaper subscriptions audio clubs selling records tapes and compact discs CD video tape and DVD clubs collectible series subscriptions for example series of stamps coins books plates china figures or plates magazine subscriptions and credit card registration service companies For newspaper classified ads sold via direct marketing methods use   Recurring transactions excluded from this category include utility payments use   private athletic club monthly dues use   and insurance premiums use  ,"Merchants that sell subscription products or services via direct mail. Such merchants may offer a series of products (such as one book a month for one year) or the annual renewal of a single product. The cardholder’s Mastercard card account is billed for the service on a continuing or periodic basis (such as once a month or twice a year), and the service continues until the subscription or series ends or the cardholder or merchant terminates the agreement. This MCC includes direct mail book clubs, magazine and newspaper subscriptions, audio clubs selling records, tapes, and compact discs (CD), video tape and DVD clubs, collectible series subscriptions (for example, series of stamps, coins, books, plates, china figures, or plates), magazine subscriptions, and credit card registration service companies. For newspaper classified ads sold via direct marketing methods, use MCC 5969. Recurring transactions excluded from this category include utility payments (use MCC 4900), private athletic club monthly dues (use MCC 7997), and insurance premiums (use MCC 6300)."
5969,Direct Marketing—Other Direct Marketers—not elsewhere classified,Merchants that sell products and services through a variety of direct response methods in which an order form or an address or phone number is included for the placement of an order by mail phone or fax These merchants often use mass-marketing techniques such as brochures radio and television direct response ads and TV infomercials extended length TV commercials with a talk-show format Such merchants generally offer only one or two products per promotion such as kitchen cutlery household gadgets weight reduction products sports equipment cosmetics specialty records or books that are available only through television advertising This includes newspaper classified ads sold via direct marketing methods For tickets ordered by phone but paid for at the ticket booth use   Excluded are face-to-face retailers that occasionally accept mail or phone orders for customer convenience For retail sales conducted through an Internet site use the most appropriate retail  with a TCC of T,"Merchants that sell products and services through a variety of direct response methods in which an order form or an address or phone number is included for the placement of an order by mail, phone, or fax. These merchants often use mass-marketing techniques such as brochures, radio and television direct response ads, and TV infomercials (extended length TV commercials with a talk-show format). Such merchants generally offer only one or two products per promotion, such as kitchen cutlery, household gadgets, weight reduction products, sports equipment, cosmetics, specialty records, or books that are available only through television advertising. This includes newspaper classified ads sold via direct marketing methods. For tickets ordered by phone but paid for at the ticket booth, use MCC 7922. Excluded are face-to-face retailers that occasionally accept mail or phone orders for customer convenience. For retail sales conducted through an Internet site, use the most appropriate retail MCC with a TCC of T."
5970,"Artist Supply Stores, Craft Shops",Retailers that sell materials equipment and supplies used to create art crafts or other items Products for sale may include clay all types of paint brushes silk flowers pens pencils paper hobby and craft kits yarns beads candy for candy-making decorative rubber stamps and some fabric and other needlecraft supplies For merchants that specialize in selling fabric sewing and needlework supplies use  ,"Retailers that sell materials, equipment, and supplies used to create art, crafts, or other items. Products for sale may include clay, all types of paint, brushes, silk flowers, pens, pencils, paper, hobby and craft kits, yarns, beads, candy for candy-making, decorative rubber stamps, and some fabric and other needlecraft supplies. For merchants that specialize in selling fabric, sewing and needlework supplies, use MCC 5949."
5971,Art Dealers and Galleries,Retailers that sell artwork such as pictures photographs or sculptures The sale may be conducted directly with the art dealer the artist or the art gallery,"Retailers that sell artwork such as pictures, photographs, or sculptures. The sale may be conducted directly with the art dealer, the artist, or the art gallery."
5972,Stamp and Coin Stores—Philatelic and Numismatic Supplies,Retailers that sell postage stamps coins and related accessories for the purpose of stamp collecting coin collecting or investment For the sale of postage stamps through government operated postal services use   For mail and packaging services that also sell stamps use  ,"Retailers that sell postage stamps, coins, and related accessories for the purpose of stamp collecting, coin collecting, or investment. For the sale of postage stamps through government operated postal services, use MCC 9402. For mail and packaging services that also sell stamps, use MCC 7399."
5973,Religious Goods Stores,Retailers that sell religious goods such as figurines cards devotional supplies pictures instructional or educational books and tapes and decorative items For merchants that primarily sell religious books use  ,"Retailers that sell religious goods such as figurines, cards, devotional supplies, pictures, instructional or educational books and tapes, and decorative items. For merchants that primarily sell religious books, use MCC 5942."
5975,"Hearing Aids—Sales, Service, Supply Stores",Retailers that sell hearing aids and related supplies and may or may not also conduct repair work For merchants that primarily conduct repair work use  ,"Retailers that sell hearing aids and related supplies, and may or may not also conduct repair work. For merchants that primarily conduct repair work, use MCC 7699."
5976,Orthopedic Goods—Artificial Limb Stores,Retailers that sell a variety of prosthetic devices and orthopedic goods and may or may not also conduct repair work Products for sale may include arch supports and other foot appliances fracture appliances elastic hosiery abdominal supporters elastic and orthopedic braces canes artificial limbs wheel chairs and walkers For merchants that primarily conduct repair work on orthopedic goods use  ,"Retailers that sell a variety of prosthetic devices and orthopedic goods, and may or may not also conduct repair work. Products for sale may include arch supports and other foot appliances, fracture appliances, elastic hosiery, abdominal supporters, elastic and orthopedic braces, canes, artificial limbs, wheel chairs, and walkers. For merchants that primarily conduct repair work on orthopedic goods, use MCC 7699."
5977,Cosmetic Stores,Retailers that sell natural or synthetic cosmetics including theatrical medical and daily-wear cosmetics,"Retailers that sell natural or synthetic cosmetics, including theatrical, medical, and daily-wear cosmetics."
5978,"Typewriter Stores—Rentals, Sales, Service",Retailers that primarily sell rent or lease typewriters Such merchants may also sell a limited selection of office supplies and equipment and may or may not conduct repair work For merchants that primarily sell office supplies use   For merchants that primarily conduct repair work use   ,"Retailers that primarily sell, rent, or lease typewriters. Such merchants may also sell a limited selection of office supplies and equipment, and may or may not conduct repair work. For merchants that primarily sell office supplies, use MCC 5943. For merchants that primarily conduct repair work, use MCC 7699. 133"
5983,"Fuel Dealers—Coal, Fuel Oil, Liquefied Petroleum, Wood",Retailers that sell fuel oil wood coal liquefied petroleum aviation fuel heating oil or gas propane Such merchants may or may not also sell gasoline for consumer use in automobiles For merchants that primarily sell automotive gasoline use   or   as appropriate,"Retailers that sell fuel oil, wood, coal, liquefied petroleum, aviation fuel, heating oil, or gas propane. Such merchants may or may not also sell gasoline for consumer use in automobiles. For merchants that primarily sell automotive gasoline, use MCC 5541 or MCC 5542 as appropriate."
5992,Florists,Retailers that sell cut flowers flower arrangements and potted plants Such merchants may or may not also sell novelty items such as helium balloons For merchants that primarily sell seeds bulbs and nursery stock use  ,"Retailers that sell cut flowers, flower arrangements, and potted plants. Such merchants may or may not also sell novelty items such as helium balloons. For merchants that primarily sell seeds, bulbs and nursery stock, use MCC 5261."
5993,Cigar Stores and Stands,Retailers that sell tobacco cigarettes cigars pipes smokers’ supplies or electronic nicotine delivery systems such as electronic cigarettes [e-cigarettes],"Retailers that sell tobacco, cigarettes, cigars, pipes, smokers’ supplies, or electronic nicotine delivery systems (such as electronic cigarettes [e-cigarettes])."
5994,News Dealers and Newsstands,Retailers that sell newspapers magazines journals and other periodicals For newspaper subscriptions use  ,"Retailers that sell newspapers, magazines, journals, and other periodicals. For newspaper subscriptions, use MCC 5968."
5995,Pet Shops—Pet Food and Supplies,Retailers that sell pets for example dogs cats birds fish reptiles hamsters and rabbits pet food and pet supplies,"Retailers that sell pets (for example, dogs, cats, birds, fish, reptiles, hamsters, and rabbits), pet food, and pet supplies."
5996,Swimming Pools—Sales and Supplies,Retailers that sell home swimming pools in-ground or prefabricated above- ground pools spas hot tubs whirlpool baths and pool supplies Such merchants may or may not also provide installation and maintenance services For merchants that primarily provide installation services use   These merchants also may or may not provide repair services For merchants that primarily provide repair services use  ,"Retailers that sell home swimming pools (in-ground or prefabricated above- ground pools), spas, hot tubs, whirlpool baths, and pool supplies. Such merchants may or may not also provide installation and maintenance services. For merchants that primarily provide installation services, use MCC 1799. These merchants also may or may not provide repair services. For merchants that primarily provide repair services, use MCC 7699."
5997,Electric Razor Stores—Sales and Service,Retailers that sell electric razors that may or may not also provide repair services For merchants that primarily provide repair services use  ,"Retailers that sell electric razors that may or may not also provide repair services. For merchants that primarily provide repair services, use MCC 7699."
5998,Tent and Awning Shops,Retailers that sell tents and awnings for home or business use Products for sale may include camping tents shade tents and predesigned or custom-made window or door awnings for homes or businesses Such merchants may or may not also provide repair services For merchants that primarily provide repair services use  ,"Retailers that sell tents and awnings for home or business use. Products for sale may include camping tents, shade tents, and predesigned or custom-made window or door awnings for homes or businesses. Such merchants may or may not also provide repair services. For merchants that primarily provide repair services, use MCC 7699."
5999,Miscellaneous and Specialty Retail Stores,Retailers that sell unique or specialized products that are not described by any other card acceptor business code  This  should be used only when all other  assignment options have been exhausted Examples of such specialty stores include map and atlas stores firearms and ammunition stores magic stores party supply stores silk flower shops fireworks shops ice dealers picture frame shops sunglasses shops beauty supply stores and bottled and distilled water dealers,"Retailers that sell unique or specialized products that are not described by any other card acceptor business code (MCC). This MCC should be used only when all other MCC assignment options have been exhausted. Examples of such specialty stores include map and atlas stores, firearms and ammunition stores, magic stores, party supply stores, silk flower shops, fireworks shops, ice dealers, picture frame shops, sunglasses shops, beauty supply stores, and bottled and distilled water dealers."
6010,Manual Cash Disbursements—Customer Financial Institution,Used only to identify face-to-face transactions in which a cardholder uses a Mastercard card at a Mastercard customer financial institution to obtain a manual “over-the-counter” cash disbursement to open or fund a deposit account or to purchase travelers cheques foreign currency money orders precious metals or savings bonds For cash disbursement transactions occurring at automated teller machines ATMs use   For sales of foreign currency money orders travelers cheques and other quasi- cash products at locations other than Mastercard customer financial institution locations use  ,"Used only to identify face-to-face transactions in which a cardholder uses a Mastercard card at a Mastercard customer financial institution to obtain a manual (“over-the-counter”) cash disbursement, to open or fund a deposit account, or to purchase travelers cheques, foreign currency, money orders, precious metals, or savings bonds. For cash disbursement transactions occurring at automated teller machines (ATMs), use MCC 6011. For sales of foreign currency, money orders, travelers cheques, and other quasi- cash products at locations other than Mastercard customer financial institution locations, use MCC 6051."
6011,Automated Cash Disbursements—Customer Financial Institution,Identifies cash disbursement transactions occurring at automated teller machines ATMs owned leased controlled or sponsored by Mastercard customers For face-to-face cash disbursement transactions occurring at a Mastercard customer financial institutions use  ,"Identifies cash disbursement transactions occurring at automated teller machines (ATMs) owned, leased, controlled, or sponsored by Mastercard customers. For face-to-face cash disbursement transactions occurring at a Mastercard customer financial institutions, use MCC 6010."
6012,Merchandise and Services—Customer Financial Institution,Identifies the purchase of merchandise or services at a Mastercard customer financial institution location Such merchandise and services may include checks and other financial products promotional merchandise loan fees and financial counseling service fees For securities or brokerage transaction service fees or other related costs use   For cash disbursements use   for face-to-face transactions and   for transactions that occur at ATMs,"Identifies the purchase of merchandise or services at a Mastercard customer financial institution location. Such merchandise and services may include checks and other financial products, promotional merchandise, loan fees, and financial counseling service fees. For securities or brokerage transaction service fees or other related costs, use MCC 6211. For cash disbursements, use MCC 6010 for face-to-face transactions and MCC 6011 for transactions that occur at ATMs."
6050,Quasi Cash—Customer Financial Institution,Identifies the purchase with a Mastercard or Maestro card of travelers cheques foreign currency money orders precious metals or savings bonds at a Mastercard customer financial institution location This  may also be used to identify transactions in which a customer accepts a Mastercard or Maestro card in direct payment of an existing debt such as a private label card or vehicle loan This  must be used for non–face-to-face transactions such as those facilitated through the Internet   may not be used to identify any sale other than as described including by way of example and not limitation gambling transactions     or   as appropriate must be used videotext transactions   must be used the sale of any prescription drug   or   must be used or the sale of any tobacco product   must be used Any fee charged and included in the total transaction amount must be clearly disclosed to the cardholder before completing the transaction For cash disbursements use   for face-to-face transactions and   for transactions that occur at ATMs,"Identifies the purchase, with a Mastercard or Maestro card, of travelers cheques, foreign currency, money orders, precious metals, or savings bonds at a Mastercard customer financial institution location. This MCC may also be used to identify transactions in which a customer accepts a Mastercard or Maestro card in direct payment of an existing debt, such as a private label card or vehicle loan. This MCC must be used for non–face-to-face transactions, such as those facilitated through the Internet. MCC 6050 may not be used to identify any sale other than as described, including, by way of example and not limitation; gambling transactions (MCC 7995, MCC 7801, or MCC 7802, as appropriate, must be used); videotext transactions (MCC 5967 must be used); the sale of any prescription drug (MCC 5122 or MCC 5912 must be used); or the sale of any tobacco product (MCC 5993 must be used). Any fee charged and included in the total transaction amount must be clearly disclosed to the cardholder before completing the transaction. For cash disbursements, use MCC 6010 for face-to-face transactions and MCC 6011 for transactions that occur at ATMs."
6051,Quasi Cash—Merchant,Identifies the purchase with a Mastercard or Maestro card of travelers cheques foreign currency or money orders or the use of a Mastercard card to open or fund a deposit account at a location other than a Mastercard customer financial institution location This  may also be used to identify transactions in which a merchant accepts a Mastercard or Maestro card for payment of an existing debt such as a private label card or vehicle loan In addition this  must be used to identify transactions involving the purchase of cryptocurrency   may not be used to identify any sale other than as described including by way of example and not limitation gambling transactions     or   as appropriate must be used videotext transactions   must be used the sale of any prescription drug   or   must be used or the sale of any tobacco product   must be used Any fee charged and included in the total transaction amount must be clearly disclosed to the cardholder before completing the transaction For the face-to-face purchase of foreign currency money orders or travelers cheques at a Mastercard customer financial institution location use  ,"Identifies the purchase, with a Mastercard or Maestro card, of travelers cheques, foreign currency, or money orders, or the use of a Mastercard card to open or fund a deposit account, at a location other than a Mastercard customer financial institution location. This MCC may also be used to identify transactions in which a merchant accepts a Mastercard or Maestro card for payment of an existing debt, such as a private label card or vehicle loan. In addition, this MCC must be used to identify transactions involving the purchase of cryptocurrency. MCC 6051 may not be used to identify any sale other than as described, including, by way of example and not limitation; gambling transactions (MCC 7995, MCC 7801, or MCC 7802, as appropriate, must be used); videotext transactions (MCC 5967 must be used); the sale of any prescription drug (MCC 5122 or MCC 5912 must be used); or the sale of any tobacco product (MCC 5993 must be used). Any fee charged and included in the total transaction amount must be clearly disclosed to the cardholder before completing the transaction. For the face-to-face purchase of foreign currency, money orders, or travelers cheques at a Mastercard customer financial institution location, use MCC 6010."
6211,Securities—Brokers/Dealers,Merchants that buy sell and broker securities stocks bonds commodities and mutual funds,"Merchants that buy, sell, and broker securities, stocks, bonds, commodities, and mutual funds."
6300,"Insurance Sales, Underwriting, and Premiums",Retailers that sell all types of personal or business insurance policies including automobile life health hospital medical and dental homeowners and renters real estate title pet health flood fire or earthquake insurance policies For merchants that sell insurance products and services using direct marketing methods use  ,"Retailers that sell all types of personal or business insurance policies, including automobile, life, health, hospital, medical and dental, homeowners and renters, real estate title, pet health, flood, fire, or earthquake insurance policies. For merchants that sell insurance products and services using direct marketing methods, use MCC 5960."
6513,Real Estate Agents and Managers—Rentals,Fees charged by merchants engaged in the rental and management of residential and commercial properties such as real estate agents brokers and managers and apartment rental services Such fees may include management fees real estate rental commissions and real estate rental payments,"Fees charged by merchants engaged in the rental and management of residential and commercial properties, such as real estate agents, brokers, and managers, and apartment rental services. Such fees may include management fees, real estate rental commissions, and real estate rental payments."
6532,Payment Transaction—Customer Financial Institution,This  may be used only to identify Payment Transactions A Payment Transaction allows Mastercard cardholders to transfer funds to a Mastercard account A Payment Transaction does not reverse a previous Mastercard purchase transaction and must be authorized by the issuer NOTE: This  is also used for Brazil domestic Coupon Booklet Payments CARNE as outlined in the Interchange Manual—Latin America and Caribbean Region,This MCC may be used only to identify Payment Transactions. A Payment Transaction allows Mastercard cardholders to transfer funds to a Mastercard account. A Payment Transaction does not reverse a previous Mastercard purchase transaction and must be authorized by the issuer. NOTE: This MCC is also used for Brazil domestic Coupon Booklet Payments (CARNE) as outlined in the Interchange Manual—Latin America and Caribbean Region.
6533,Payment Transaction—Merchant,This  may be used only to identify Payment Transactions A Payment Transaction allows Mastercard cardholders to transfer funds to a Mastercard account A Payment Transaction does not reverse a previous Mastercard purchase transaction and must be authorized by the issuer NOTE: This  is also used for Brazil domestic Coupon Booklet Payments CARNE as outlined in the Interchange Manual—Latin America and Caribbean Region ,This MCC may be used only to identify Payment Transactions. A Payment Transaction allows Mastercard cardholders to transfer funds to a Mastercard account. A Payment Transaction does not reverse a previous Mastercard purchase transaction and must be authorized by the issuer. NOTE: This MCC is also used for Brazil domestic Coupon Booklet Payments (CARNE) as outlined in the Interchange Manual—Latin America and Caribbean Region. 144
6536,MoneySend Intracountry,Identifies MoneySend Intracountry Payment Transactions MoneySend operates on the basis of account-to-account processing with funds transferred from the Originating Institution to any Mastercard Maestro or Cirrus account held at the Receiving Institution,"Identifies MoneySend Intracountry Payment Transactions. MoneySend operates on the basis of account-to-account processing with funds transferred from the Originating Institution to any Mastercard, Maestro, or Cirrus account held at the Receiving Institution."
6537,MoneySend Intercountry,Identifies MoneySend Payment Transactions MoneySend operates on the basis of account-to-account processing with funds transferred from the Originating Institution to any Mastercard Maestro or Cirrus account held at the Receiving Institution,"Identifies MoneySend Payment Transactions. MoneySend operates on the basis of account-to-account processing with funds transferred from the Originating Institution to any Mastercard, Maestro, or Cirrus account held at the Receiving Institution."
6538,MoneySend Funding,Identifies a MoneySend Funding Transaction in which a cardholder uses a Mastercard card to fund a MoneySend Payment Transaction,Identifies a MoneySend Funding Transaction in which a cardholder uses a Mastercard card to fund a MoneySend Payment Transaction.
6540,POI Funding Transactions (Excluding MoneySend),Identifies a transaction conducted by a card acceptor providing any of the following services:  A service in which funds are delivered or made available to a person other than the cardholder  The loading of funds into an account unless the funds are to be used for sales described by any of the s listed in the paragraph below or  The loading of funds onto a stored value or prepaid card alternatively the  used to identify the primary business of the merchant performing such service may be used   may not be used to identify any sale other than as described including by way of example and not limitation: gambling transactions     or   as appropriate must be used videotext transactions   must be used the sale of any prescription drug   or   must be used or the sale of any tobacco product   must be used The identity and location of the card acceptor must be included in the card acceptor descriptor record as the site where the transaction was effected Any fee charged whether or not it is included in the total transaction amount must be disclosed clearly to the cardholder before the transaction is completed,"Identifies a transaction conducted by a card acceptor providing any of the following services: • A service in which funds are delivered or made available to a person other than the cardholder; • The loading of funds into an account unless the funds are to be used for sales described by any of the MCCs listed in the paragraph below; or • The loading of funds onto a stored value or prepaid card (alternatively, the MCC used to identify the primary business of the merchant performing such service may be used). MCC 6540 may not be used to identify any sale other than as described, including, by way of example and not limitation: gambling transactions (MCC 7995, MCC 7801, or MCC 7802, as appropriate, must be used); videotext transactions (MCC 5967 must be used); the sale of any prescription drug (MCC 5122 or MCC 5912 must be used) or the sale of any tobacco product (MCC 5993 must be used). The identity and location of the card acceptor must be included in the card acceptor descriptor record as the site where the transaction was effected. Any fee charged, whether or not it is included in the total transaction amount, must be disclosed clearly to the cardholder before the transaction is completed."
7011,"Lodging—Hotels, Motels, Resorts—not elsewhere classified",Only those lodging establishments for which a unique  has not been designated including bed and breakfast and other local inns resorts cabins cottages and hostels,"Only those lodging establishments for which a unique MCC has not been designated, including bed and breakfast and other local inns, resorts, cabins, cottages, and hostels."
7012,Timeshares,Retailers that sell lease and rent timeshare real estate and arrange timeshare condominium exchanges,"Retailers that sell, lease, and rent timeshare real estate and arrange timeshare condominium exchanges."
7032,Recreational and Sporting Camps,Merchants that operate children’s camps recreational camps and sporting camps Examples of such camps include summer camps for boys and girls nudist camps dude ranches fishing and hunting camps and educational or sports instruction camps For campgrounds used for tent or trailer camping use  ,"Merchants that operate children’s camps, recreational camps, and sporting camps. Examples of such camps include summer camps for boys and girls, nudist camps, dude ranches, fishing and hunting camps, and educational or sports instruction camps. For campgrounds used for tent or trailer camping, use MCC 7033."
7033,Campgrounds and Trailer Parks,Merchants that provide overnight or short-term campsites for recreational vehicles trailers campers or tents Such campsites may be located within state parks or privately owned and operated and may or may not include water and electrical hookups for recreational vehicles,"Merchants that provide overnight or short-term campsites for recreational vehicles, trailers, campers, or tents. Such campsites may be located within state parks, or privately owned and operated, and may or may not include water and electrical hookups for recreational vehicles."
7210,"Cleaning, Garment, and Laundry Services",Merchants that operate steam or other types of laundries for commercial businesses or individuals On a weekly or monthly basis these merchants provide laundered items such as uniforms gowns aprons table linens bed linens and towels This  also includes diaper services offering home pick- up cleaning and delivery ,"Merchants that operate steam or other types of laundries for commercial businesses or individuals. On a weekly or monthly basis, these merchants provide laundered items such as uniforms, gowns, aprons, table linens, bed linens, and towels. This MCC also includes diaper services offering home pick- up, cleaning, and delivery. 149"
7211,Laundry Services—Family and Commercial,Merchants that provide self-service washers and dryers for general consumer use including pay-by-the-pound laundry service Such self-service laundry services are typically known as laundromats but also are found in dormitories apartment buildings or other similar locations,"Merchants that provide self-service washers and dryers for general consumer use, including pay-by-the-pound laundry service. Such self-service laundry services are typically known as laundromats but also are found in dormitories, apartment buildings, or other similar locations."
7216,Dry Cleaners,Merchants that provide dry cleaning services for individuals or businesses and may offer limited alteration services Items cleaned by dry cleaners typically include clothing draperies wedding dresses and bedding ,"Merchants that provide dry cleaning services for individuals or businesses, and may offer limited alteration services. Items cleaned by dry cleaners typically include clothing, draperies, wedding dresses, and bedding. 150"
7217,Carpet and Upholstery Cleaning,Merchants that clean commercial or residential carpets drapes and upholstery For merchants that provide reupholstering services use  ,"Merchants that clean commercial or residential carpets, drapes, and upholstery. For merchants that provide reupholstering services, use MCC 7641."
7221,Photographic Studios,Merchants that perform still or video portrait photography for the general public including those that photograph children on location at schools or specialize in wedding photography and videos For merchants that provide film developing and printing services use  ,"Merchants that perform still or video portrait photography for the general public, including those that photograph children on location at schools or specialize in wedding photography and videos. For merchants that provide film developing and printing services, use MCC 7395."
7230,Barber and Beauty Shops,Merchants that provide personal hair care services such as hair cutting hair styling hair coloring and hair extensions Barber and beauty shops may also perform manicures and pedicures and sell a limited selection of hair care products,"Merchants that provide personal hair care services such as hair cutting, hair styling, hair coloring, and hair extensions. Barber and beauty shops may also perform manicures and pedicures and sell a limited selection of hair care products."
7251,"Hat Cleaning Shops, Shoe Repair Shops, Shoe Shine Parlors",Retailers that repair footwear and provide shoe cleaning and shining services as well as retailers that provide hat cleaning and blocking services,"Retailers that repair footwear and provide shoe cleaning and shining services, as well as retailers that provide hat cleaning and blocking services."
7261,Funeral Service and Crematories,Merchants that provide burial preparation and cremation services and conduct funerals Such merchants include mortuaries crematories funeral homes and funeral parlors For animal cremation and burial services use  ,"Merchants that provide burial preparation and cremation services and conduct funerals. Such merchants include mortuaries, crematories, funeral homes, and funeral parlors. For animal cremation and burial services, use MCC 7299."
7273,Dating Services,Merchants that provide dating and escort services including computer and video personal introduction and matchmaking services ,"Merchants that provide dating and escort services, including computer and video personal introduction and matchmaking services. 153"
